bodyId,bx,by,bz,count
10001,48,50,58,8
10001,48,49,49,56
10001,49,49,49,27
10001,49,52,63,22
10001,49,52,78,16
10001,49,50,56,25
10001,48,45,46,39
10001,49,48,48,28
10001,48,52,75,13
10001,48,51,73,36
10001,48,50,50,33
10001,49,45,46,8
10001,47,44,45,1
10001,49,53,67,29
10001,49,52,60,7
10001,49,51,57,24
10001,49,53,64,13
10001,48,52,83,121
10001,48,50,51,22
10001,48,52,65,118
10001,48,52,79,109
10001,48,46,46,69
10001,48,49,48,5
10001,48,52,82,173
10001,48,53,67,89
10001,48,47,47,77
10001,48,44,46,37
10001,48,44,45,52
10001,49,50,51,5
10001,48,48,48,47
10001,48,53,83,51
10001,48,46,47,12
10001,49,50,53,6
10001,48,52,81,99
10001,49,45,47,4
10001,48,52,67,141
10001,49,53,62,10
10001,49,53,63,21
10001,49,50,55,26
10001,50,51,61,3
10001,48,52,64,156
10001,49,51,59,27
10001,49,52,62,5
10001,48,52,66,110
10001,48,51,81,29
10001,48,53,66,61
10001,49,53,84,6
10001,49,51,80,1
10001,49,46,47,15
10001,50,52,62,12
10001,49,54,87,10
10001,48,51,76,3
10001,49,53,66,46
10001,48,50,57,12
10001,49,53,65,20
10001,49,50,54,26
10001,49,47,48,12
10001,49,51,56,22
10001,49,52,84,135
10001,48,52,76,28
10001,47,55,90,111
10001,48,52,69,14
10001,49,52,61,9
10001,49,53,68,24
10001,48,52,74,34
10001,49,47,47,22
10001,49,52,79,16
10001,49,49,51,3
10001,49,51,60,15
10001,49,52,70,12
10001,48,50,55,25
10001,48,52,62,50
10001,48,51,80,4
10001,48,53,85,97
10001,49,52,74,2
10001,49,48,49,1
10001,49,52,67,7
10001,49,52,71,4
10001,49,54,84,64
10001,48,45,45,24
10001,49,52,64,9
10001,48,53,68,12
10001,48,43,45,4
10001,48,51,60,18
10001,48,53,65,63
10001,49,51,61,3
10001,48,48,50,3
10001,49,52,73,4
10001,50,52,65,6
10001,49,50,57,12
10001,49,51,58,19
10001,48,52,86,40
10001,48,51,58,2
10001,48,47,48,18
10001,48,48,49,11
10001,49,51,72,13
10001,48,55,89,37
10001,49,54,86,38
10001,49,52,80,18
10001,48,52,77,35
10001,50,51,62,1
10001,48,50,54,41
10001,49,43,45,6
10001,48,53,64,24
10001,48,50,56,15
10001,46,55,90,70
10001,49,49,50,6
10001,49,53,70,6
10001,48,53,69,20
10001,48,46,48,13
10001,49,50,52,4
10001,49,51,77,3
10001,48,54,86,38
10001,47,55,89,85
10001,49,51,73,1
10001,46,55,91,69
10001,46,54,91,57
10001,49,52,65,2
10001,48,52,70,10
10001,49,53,85,91
10001,48,50,52,15
10001,50,52,63,4
10001,48,52,73,12
10001,49,53,69,13
10001,49,52,85,130
10001,48,52,80,130
10001,48,51,72,26
10001,49,54,85,76
10001,50,52,61,2
10001,48,52,84,58
10001,48,49,53,12
10001,48,50,53,2
10001,49,49,52,2
10001,47,48,49,2
10001,49,52,69,17
10001,50,51,60,4
10001,49,55,88,17
10001,48,53,71,10
10001,48,52,63,70
10001,48,51,59,1
10001,48,55,88,42
10001,48,53,82,16
10001,49,53,82,9
10001,49,44,45,2
10001,48,53,86,47
10001,47,45,45,1
10001,49,51,74,1
10001,49,54,83,2
10001,45,54,91,31
10001,49,50,59,1
10001,48,49,52,3
10001,49,46,46,2
10001,48,54,85,31
10001,48,50,49,10
10001,49,52,75,4
10001,49,44,46,1
10001,49,53,86,38
10001,48,45,47,1
10001,48,52,61,7
10001,49,52,77,16
10001,49,52,76,38
10001,50,50,59,1
10001,48,51,77,5
10001,49,55,87,18
10001,49,52,81,10
10001,48,51,57,2
10001,49,51,83,46
10001,35,32,23,77
10001,48,39,41,4
10001,38,27,27,30
10001,47,37,37,7
10001,36,28,26,164
10001,35,33,23,85
10001,34,33,23,54
10001,35,35,20,71
10001,37,24,27,27
10001,34,36,22,85
10001,37,34,22,13
10001,34,35,16,71
10001,44,23,27,158
10001,48,39,40,33
10001,39,25,26,132
10001,36,34,23,29
10001,40,23,28,31
10001,37,28,27,226
10001,34,35,19,101
10001,34,27,26,96
10001,34,27,27,344
10001,35,27,28,193
10001,40,25,27,28
10001,37,28,26,504
10001,39,25,27,25
10001,46,34,34,5
10001,41,30,29,1
10001,39,29,26,51
10001,36,27,28,132
10001,48,38,39,11
10001,41,21,27,81
10001,38,26,26,45
10001,35,33,24,183
10001,34,33,24,25
10001,37,27,26,457
10001,38,26,27,49
10001,37,26,27,7
10001,37,26,26,125
10001,47,41,42,13
10001,36,27,26,113
10001,47,40,42,6
10001,41,24,27,191
10001,33,28,29,243
10001,46,23,28,71
10001,34,34,21,73
10001,34,29,27,227
10001,34,35,21,78
10001,48,42,43,6
10001,45,23,29,14
10001,40,22,27,108
10001,34,34,16,190
10001,36,32,24,37
10001,36,32,23,23
10001,33,28,28,302
10001,40,24,27,151
10001,46,35,35,12
10001,35,35,17,75
10001,42,20,27,73
10001,48,40,43,4
10001,34,36,20,28
10001,44,23,28,96
10001,36,29,27,309
10001,48,41,42,9
10001,47,39,40,1
10001,35,30,26,83
10001,34,27,28,152
10001,35,34,24,55
10001,35,36,20,12
10001,34,29,29,65
10001,33,29,27,57
10001,33,29,29,39
10001,34,34,19,42
10001,47,37,39,1
10001,44,32,32,4
10001,37,27,27,201
10001,45,23,28,117
10001,40,23,27,264
10001,41,23,27,211
10001,41,31,28,2
10001,36,35,23,60
